Date,ShopName,Prefecture,longitude,latitude,Open
2021-03-22,赤坂 富貴貫 Bizタワー店,東京都,139.7356608292445,35.672910698762266,1
2021-03-13,名代 宇奈とと JR尼崎店,兵庫県,135.43260521295161,34.73457218042581,1
2021-03-13,うなぎすっぽん團-DAN-,大分県,131.7571530969219,33.23514963486302,1
2021-03-02,名代 宇奈とと 松江,島根県,133.05559291583268,35.46919878024433,1
2021-02-13,名代 宇奈とと 岸和田店,大阪府,135.4170743055988,34.470273180494296,1
2021-02-06,炭焼 うなぎの政虎,岐阜県,136.70047130561744,35.412147280257884,1
2020-12-29,まさや食堂 竹下通り２号店,東京都,139.70410332926042,35.6711802987623,1
2020-12-22,名代 宇奈とと 長岡店,京都府,135.69231654570575,34.92258406724421,1
2020-12-18,名代 宇奈とと 秋葉原店,東京都,139.7721052425097,35.70024248001283,1
2020-12-15,うなぎ茶屋 しば,三重県,136.545478515247,34.87080531033784,1
2020-11-22,名代 宇奈とと 立川店,東京都,139.4152364340685,35.69628491408184,1
2020-11-22,浜名湖うなぎ だいだら,静岡県,137.7070574399494,34.70583398531771,1
2020-11-21,名代宇奈とと 札幌清田店,北海道,141.4294587131308,43.00586357914878,1
2020-11-18,ひつまぶし登河 那古野本店,愛知県,136.8930999730018,35.17665027543586,1
2020-11-05,うなぎ四代目菊川 栄店,愛知県,136.90535425872196,35.1692174,1
2020-11-05,金のうなぎ 中村橋店,東京都,139.638819075679,35.73397703877801,1
2020-10-29,日本一 フレンテ笹塚店,東京都,139.6675415129703,35.673529380196136,1
2020-10-08,佃 瀧三郎 すし うなぎ 立石店,東京都,139.8493956056241,35.73925258018089,1
2020-09-10,京うな和 本店,京都府,135.76342040560928,35.00428428035765,1
2020-08-29,うなぎ四代目菊川 msb Tamachi店,東京都,139.74911782926054,35.64588199876269,1
2020-08-22,炉端スタンダー堂 青木店,兵庫県,135.28283750560365,34.719226380429625,1
2020-08-06,たけだの穴子めし まねき本店,兵庫県,134.69080810560575,34.82820238040198,1
2020-08-03,うなぎ料理 うな和 名駅,愛知県,136.88553830561253,35.17201238031617,1
2020-07-24,うなぎ四代目菊川 クロスゲート金沢店,石川県,136.6475748292456,36.58003299874965,1
2020-07-16,うなぎ処 うな富 本店,兵庫県,135.3950531681414,34.82266446862906,1
2020-07-16,有楽町 うなぎのお宿,東京都,139.7640909025887,35.67603012475819,1
2020-07-10,うなぎ四代目菊川 湯の山素粋居店,三重県,136.47715938351294,35.012258994896136,1
2020-07-02,日本橋 玉ゐ（たまい）人形町店,東京都,139.783328877683,35.6843750115549,1
2020-06-29,日本料理 寿司・うなぎ処 京丸,静岡県,138.9105278292598,35.12573999877048,1
2020-06-27,うなぎの蒲の穂焼 牛タン 焼鳥 馬刺し いづも,愛知県,136.90615900064626,35.1706020762918,1
2020-06-24,割烹蒲焼八十八 ニュウマン店,神奈川県,139.6208249909326,35.46623701248919,1
2020-06-22,かわせ,愛知県,136.88846562925985,35.16899439876982,1
2020-06-12,うなぎの兼光 東岡崎店,愛知県,-1,-1,1
2020-05-30,木元水産 千林商店街店,大阪府,135.5541954536262,34.724193582472,1
2020-05-07,うなぎの政虎,愛知県,136.82342370561489,35.287812080288056,1
2020-04-16,京都 鰻 まえはら,東京都,139.74880382924508,35.66762399876232,1
2020-04-05,うなぎ 一富士,香川県,134.0917206131264,34.347225480526646,1
2020-03-26,たかさか,千葉県,140.31607282926126,35.783204998760716,1
2020-03-04,うなぎ料理 鰻和,愛知県,136.91252811314217,35.15124018032118,1
2020-01-06,炭焼き 鰻真,奈良県,135.8053648292597,34.5084899987803,1
2019-12-31,鰻 渋谷松川 東急プラザ渋谷店,東京都,139.69966482924508,35.65776699876248,1
2019-12-02,新宿三丁目 うな串 焼鳥 う福,東京都,139.70625382926113,35.691421998761996,1
2019-11-30,うなぎ串料理 う頂天,大阪府,135.53000282925993,34.69611999877722,1
2019-11-29,那古野炭焼きうなぎ・かしわ 登河,愛知県,136.9057098292605,35.16384599876988,1
2019-11-22,鰻串 焼き鳥 滋養強壮 うな岐,岐阜県,137.12128082926066,35.33455099876729,1
2019-10-31,日本一 ビーンズ亀有店,東京都,139.84737820677262,35.766570767010826,1
2019-10-19,浜松うなぎ中川屋 西麻布店,東京都,139.72369082926113,35.66157499876245,1
2019-10-18,うなぎ徳 遠鉄店,静岡県,137.73258912925994,34.703775398777104,1
2019-10-18,堀忠 神戸阪急店,兵庫県,135.19510741408158,34.692978067597856,1
2019-09-15,鰻屋 源八郎,熊本県,130.70308782924158,32.80052689881029,1
2019-08-08,日本一 イオンスタイル河辺店,東京都,139.28528682926122,35.785229998760634,1
2019-07-30,日本一 イオンモール東浦店,愛知県,136.97198921583268,34.97875048036409,1
2019-07-15,鰻しみず,大阪府,135.49987340675682,34.726488067430665,1
2019-07-05,うなぎの中庄,愛知県,136.8960976067582,35.23736556722161,1
2019-06-30,うなぎの竹若,東京都,139.66652782926107,35.659483998762475,1
2019-06-26,うなぎ仁,福岡県,130.3958426092076,33.58250397038338,1
2019-06-23,うなぎ処いっしき,愛知県,137.0138001401357,34.79491696713315,1
2019-04-25,赤坂 ふきぬき 柏高島屋ステーションモール店,千葉県,139.97056510608306,35.86283918287125,1
2019-04-20,銀座 鰻せいろう 髙之屋(こうのや),東京都,139.75902700676093,35.6676807670495,1
2019-04-07,うなぎのしろむら 春日井,愛知県,136.97047352005004,35.252122025406386,1
2019-04-01,うなぎ 串焼 たけ,滋賀県,135.86617482926025,35.0031739987724,1
2019-04-01,うなぎ四代目菊川 覚王山店,愛知県,136.95223082926051,35.16730899876986,1
2019-03-28,うなぎ亭一座 東越谷店,埼玉県,139.8027205292613,35.89742109875901,1
2019-03-01,うなぎ 串料理 いづも ルクア,大阪府,135.4928073158272,34.70311428043394,1
2019-02-16,日本一 ビーンズ阿佐ヶ谷店,東京都,139.63440682926117,35.704926998761806,1
2018-12-17,ひつまぶし名古屋備長 丸ビル店,東京都,139.76353137841718,35.68104096729167,1
2018-12-11,穴子家 NORESORE 難波店,大阪府,135.50052382865243,34.66608894234116,1
2018-12-07,鰻と藁焼き 柳屋 上峰店,佐賀県,130.42659367839929,33.31844276831447,1
2018-12-01,あなごの直吾美,香川県,134.05088977108338,34.34014096769592,1
2018-11-25,日本一 柏高島屋ステーションモール店,千葉県,139.97056510608306,35.86283918287125,1
2018-11-08,まんまる,長崎県,130.04245027106538,32.850575968392846,1
2018-09-12,日本一 イオンスタイル仙台卸町店,宮城県,140.91568767989395,38.2520114924305,1
2018-07-19,うなぎ ぞろ芽,東京都,139.70624079161075,35.72149404342408,1
2018-07-17,博多 藤う那(ふじうな),福岡県,130.42302417033753,33.589473115972844,1
2018-07-12,つたや 津南店,三重県,136.4841142672273,34.68411529337118,1
2018-07-07,麻布しき 旗の台店,東京都,139.70406417034002,35.60498908915472,1
2018-06-20,炭焼鰻 寝床 福島店,大阪府,135.4860211703388,34.69399510144463,1
2018-05-25,うなぎ家 しば福や,愛知県,136.89139600565792,35.175099480315524,1
2018-05-10,うなぎ海鮮料理 六なぎ,愛知県,137.0791738072475,34.98775969877263,1
2018-05-03,あなご海鮮処 安芸乃,広島県,132.39666583951376,34.409324409139195,1
2018-04-27,二与呂,和歌山県,135.1880310054867,34.233028180557135,1
2018-04-21,うな串 焼き鳥 う福 八丁堀,東京都,139.77937680551815,35.67426138019595,1
2018-03-28,日本一 アピタテラス横浜綱島店,神奈川県,139.60654142426682,35.54205846276071,1
2018-03-28,ひつまぶし名古屋備長 金シャチ横丁店,愛知県,136.8968213154133,35.18293036474533,1
2018-03-27,日本一 トレッサ横浜店,神奈川県,139.64452022101153,35.524617246248965,1
2018-03-19,日本一 シャポーロコ平井店,東京都,139.84151922134512,35.706268447442206,1
2018-03-01,日本一 グランエミオ所沢店,埼玉県,139.4717176155001,35.78620903181439,1
2018-01-11,鰻う おか冨士,愛知県,136.8949454154961,35.16731886559103,1
2018-01-06,うなくし 大井町店,東京都,139.73330761550483,35.60746424162099,1
2017-12-01,熊本上乃裏 うな雅,熊本県,130.71081711545173,32.806901089767614,1
2017-12-01,本格炭火焼うなぎ いしぐろ,三重県,136.70702391548318,34.50574020114206,1
2017-10-03,四代目 菊川,愛知県,136.881097279947,35.16191578041489,1
2017-09-26,日本一 トリエ京王調布店,東京都,139.54249537995884,35.65179318029814,1
2017-08-20,うなぎ処 柳栄館,福岡県,130.633002715319,33.35299476170027,1
2017-07-12,三代目 うな衛門  横浜店,神奈川県,139.615748115363,35.46303574951476,1
2017-06-20,ブロンコビリー保木間店,東京都,139.80562747988503,35.78971873171861,1
2017-06-13,うなぎ割烹 にし村,千葉県,139.9288429798168,35.789255231744235,1
2017-06-07,うなどん丼 神保町店,東京都,139.75503521565685,35.69624548019083,1
2017-06-07,江戸川 大丸神戸店,兵庫県,135.18829541563454,34.68862898043763,1
2017-06-01,うなぎ割烹 にし村,千葉県,139.92883761543067,35.78925253164714,1
2017-04-25,UnagiDiningという、選択。,高知県,133.54587027975631,33.56177685095799,1
