Date,ShopName,longitude,latitude
2020-11-30,キッチン涼花,38.424966,141.27981
2020-11-29,麹町カフェ,38.424966,141.27981
2020-11-29,銀座洋食三笠會館 / カフェ三笠  江戸東京博物館店,38.424966,141.27981
2020-11-28,19TEA,38.424966,141.27981
2020-11-28,スターアイル,38.424966,141.27981
2020-11-28,LeBRESSOレブレッソ 名古屋矢場町店,38.424966,141.27981
2020-11-26,ファインクック・こと,38.424966,141.27981
2020-11-24,Weekend Garage Tokyo,38.424966,141.27981
2020-11-16,XFLAG STORE 全店,38.424966,141.27981
2020-11-15,ローズベーカリー 伊勢丹新宿店,38.424966,141.27981
2020-11-09,フクロウカフェもふもふ新宿店,38.424966,141.27981
2020-11-08,PRONT プロント東梅田店,38.424966,141.27981
2020-11-08,76CAFE omotesanto,38.424966,141.27981
2020-11-02,食遊館 鹿六,38.424966,141.27981
2020-11-02,Cafe Restaurant MAHALO,38.424966,141.27981
2020-11-02,鳥のいるカフェ浅草店,38.424966,141.27981
2020-10-30,アニメイトカフェ仙台 / アニメイトカフェショップ仙台,38.424966,141.27981
2020-10-29,サラベス大阪 Sarabeth’s Osaka,38.424966,141.27981
2020-10-26,プロムナードカフェ四条寺町店,38.424966,141.27981
2020-10-26,ハングオンカフェ,38.424966,141.27981
2020-10-26,ほしまるカフェ,38.424966,141.27981
2020-10-25,Cafe Miyama 渋谷公園通り店,38.424966,141.27981
2020-10-23,ポムポムプリンカフェ 梅田店,38.424966,141.27981
2020-10-21,猫カフェきゃりこ 新宿店,38.424966,141.27981
2020-10-20,厨 loteat（くりや ロッティート）,38.424966,141.27981
2020-10-18,リアン サンドウィッチ カフェ 横浜店,38.424966,141.27981
2020-10-17,ごはんdeカフェ ニッケパークタウン加古川店,38.424966,141.27981
2020-10-17,PRONTOプロント 上野しのばず口店,38.424966,141.27981
2020-10-14,YURT神戸店,38.424966,141.27981
2020-10-13,ベビーフェイスプラネッツ 春日店,38.424966,141.27981
2020-10-11,猫カフェ 猫家 大宮店,38.424966,141.27981
2020-10-11,芸術銭湯+Café 宮の湯,38.424966,141.27981
2020-10-11,LeBRESSO(レブレッソ) 富山婦中店,38.424966,141.27981
2020-10-08,ELLE café Aoyama エルカフェ青山店,38.424966,141.27981
2020-10-06,エイトーパークカフェ プライムツリー赤池店,38.424966,141.27981
2020-10-06,エイトーパークカフェららぽーと名古屋港アクルス店,38.424966,141.27981
2020-10-06,エイトーパークカフェ犬山店,38.424966,141.27981
2020-10-05,cafe gelo (カフェ ジェロ),38.424966,141.27981
2020-10-04,cafe haven’t we met（カフェハヴントウィーメット）本店,38.424966,141.27981
2020-10-04,Eggs’n Things横浜山下公園店（エッグスンシングス）,38.424966,141.27981
2020-10-03,ピエスモンテ,38.424966,141.27981
2020-10-02,CAFE BAR KARAKORUM（カラコルム）,38.424966,141.27981
2020-10-02,STATION CAFE BASEL,38.424966,141.27981
2020-09-29,サンマルクカフェ 茗荷谷駅前店,38.424966,141.27981
2020-09-28,99 tsukumo harbor terrace（ツクモ ハーバーテラス）,38.424966,141.27981
2020-09-28,cafe dining cocochi 京都西大路,38.424966,141.27981
2020-09-28,レストラン高砂,38.424966,141.27981
2020-09-28,カフェ&ギャラリー Le Cottage,38.424966,141.27981
2020-09-27,PRONTO プロント 阪急かっぱ横丁店,38.424966,141.27981
2020-09-27,吾妻茶寮,38.424966,141.27981
2020-09-26,Decor De Cozy cafe（デコール デ コージー カフェ）,38.424966,141.27981
2020-09-26, ふるーつもいいかも。,38.424966,141.27981
2020-09-26,グリーンカフェ八雲,38.424966,141.27981
2020-09-26,メルヘン 県立地球市民プラザ店,38.424966,141.27981
2020-09-26,メルヘン県立青少年センター店,38.424966,141.27981
2020-09-25,カフェ ドリーム エイト,38.424966,141.27981
2020-09-24,XFLAG STORE + HANEDA,38.424966,141.27981
2020-09-24,カフェ珈人,38.424966,141.27981
2020-09-23,アロハカフェ カピリナ,38.424966,141.27981
2020-09-22,ル・シエール,38.424966,141.27981
